key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,1.9278,space,1.0716,space,5.6287,space,8.9496,space,2.1671,space,3.6682,space,2.5248,3,FF,4,3,2.3823,-44,-135,1,0,0,response5disk_5,10,5,1,0,0,rectangle_8,10,5,1,0,0,6,10,5,1,0,0,0,0,0,5,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,3,4,2.9677,75,-128,1,0,0,response3disk_5,-17,-10,1,0,0,rectangle_8,-17,-10,1,0,0,6,-17,-10,1,0,0,0,1,1,4,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,2,4,5.5972,90,-149,1,0,0,response3disk_5,5,4,1,0,0,rectangle_8,120,54,1,0,0,6,2,0,1,0,0,0,2,2,2,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,1,0,3.5525,-40,132,1,0,0,response7disk_5,-2,-5,1,0,0,rectangle_8,-2,-5,1,0,0,6,-2,-5,1,0,0,0,3,3,1,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,2,3,1.6008,-30,-141,1,0,0,response5disk_5,-15,9,1,0,0,rectangle_8,-15,9,1,0,0,6,-15,9,1,0,0,0,4,4,0,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,6,0,1.2168,-67,114,1,0,0,response7disk_5,7,5,1,0,0,rectangle_8,121,65,1,0,0,6,-12,6,1,0,0,0,5,5,3,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,2,7,2.7838,56,144,1,0,0,response1disk_5,29,7,1,0,0,rectangle_8,29,7,1,0,0,6,29,7,1,0,0,0,6,6,6,1,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,7,1.2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,space,3.7172,51,138,1,0,0,response1disk,2,1,-3,10,1,0,0,rectangle,-3,10,1,0,0,,7,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",-3,10,1,0,0,0,0,0,44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,2.0842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-57,130,1,0,0,response7disk,1,2,-3,-7,1,0,0,rectangle,-3,-7,1,0,0,,6,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",-3,-7,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,5,2.1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,117,-76,1,0,0,response3disk,6,3,11,-2,1,0,0,rectangle,11,-2,1,0,0,,1,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",11,-2,1,0,0,0,2,2,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-59,-114,1,0,0,response5disk,3,4,5,0,1,0,0,rectangle,5,0,1,0,0,,7,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",5,0,1,0,0,0,3,3,24,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,0,1.1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-43,132,1,0,0,response7disk,1,5,-1,-5,1,0,0,rectangle,-1,-5,1,0,0,,4,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",-1,-5,1,0,0,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,3,4.3872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-51,-158,1,0,0,response5disk,7,6,-11,-6,1,0,0,rectangle,-11,-6,1,0,0,,4,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",-11,-6,1,0,0,0,5,5,32,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,2.5685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-53,112,1,0,0,response7disk,5,7,5,-5,1,0,0,rectangle,5,-5,1,0,0,,0,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",5,-5,1,0,0,0,6,6,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,3,6.3834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-51,-137,1,0,0,response5disk,2,8,15,-12,1,0,0,rectangle,15,-12,1,0,0,,1,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",15,-12,1,0,0,0,7,7,12,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,1.7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,124,-65,1,0,0,response3disk,2,9,16,5,1,0,0,rectangle,16,5,1,0,0,,6,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",16,5,1,0,0,0,8,8,28,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,2.3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-73,-114,1,0,0,response5disk,2,10,6,-5,1,0,0,rectangle,6,-5,1,0,0,,4,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",6,-5,1,0,0,0,9,9,35,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,0,1.4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-51,120,1,0,0,response7disk,5,11,20,4,1,0,0,rectangle,20,4,1,0,0,,7,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",20,4,1,0,0,0,10,10,14,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,2,2.7837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,-106,-67,1,0,0,response5disk,6,12,7,-1,1,0,0,rectangle,7,-1,1,0,0,,3,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",7,-1,1,0,0,0,11,11,20,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,1.9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b878b37eb692600011995d3,60cc916a519ddbd1849fa668,2021-06-18_13h28.46.623,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97720866,60cc862d586bafd4cd2fa98a,,,,,,39,-129,1,0,0,response3disk,7,13,1,-2,1,0,0,rectangle,1,-2,1,0,0,,1,"[196,250,129,261,259,237,321,56,117,291,16,77,314,296,85,29,247,169,294,177]",1,-2,1,0,0,0,12,12,15,1,,,,,,,,,,,,,,,,,,,,,,,
