key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,1.8403,space,9.3805,space,2.1833,space,8.4831,space,2.8834,space,1.2624,space,2.6117,6,FF,6,5,3.9169,101,-69,1,0,0,response3disk_5,12,-3,1,0,0,rectangle_8,12,-3,1,0,0,5,12,-3,1,0,0,0,0,0,3,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,1,0,3.0667,-45,122,1,0,0,response7disk_5,-15,-1,1,0,0,rectangle_8,152,-76,1,0,0,5,-7,0,1,0,0,0,1,1,2,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,response3disk_7,5,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,1,2,2.3333,-99,-46,1,0,0,response5disk_5,4,-3,1,0,0,rectangle_8,4,-3,1,0,0,5,4,-3,1,0,0,0,2,2,4,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,2,4,1.351,68,-134,1,0,0,response3disk_5,-3,1,1,0,0,rectangle_8,-3,1,1,0,0,5,-3,1,1,0,0,0,3,3,5,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,6,2,1.85,-121,-40,1,0,0,response5disk_5,-11,-4,1,0,0,rectangle_8,-11,-4,1,0,0,5,-11,-4,1,0,0,0,4,4,6,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,1,7,1.4168,30,132,1,0,0,response1disk_5,-11,-11,1,0,0,rectangle_8,110,-54,1,0,0,5,-5,1,1,0,0,0,5,5,1,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,response3disk_7,5,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,1,2,1.0335,-103,-56,1,0,0,response5disk_5,-9,2,1,0,0,rectangle_8,-9,2,1,0,0,5,-9,2,1,0,0,0,6,6,0,1,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,space,3.2628,-72,-124,1,0,0,response5disk,7,1,-6,4,1,0,0,rectangle,-6,4,1,0,0,,3,"[266,75,171,97,150,307,10,271,147,81,171,170,139,91,28,207,135,40,207,210]",-6,4,1,0,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,2,1.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,-104,-55,1,0,0,response5disk,4,2,-9,-2,1,0,0,rectangle,-9,-2,1,0,0,,1,"[266,75,171,97,150,307,10,271,147,81,171,170,139,91,28,207,135,40,207,210]",-9,-2,1,0,0,0,1,1,48,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,2,1.1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5febdfcdc92b36d17239946f,60cc90dea66ddc0ae1f0d6b0,2021-06-18_13h26.53.268,FlowerSimilarity_Experiment,2021.1.2,Win32,59.97001499,60cc862d586bafd4cd2fa98a,,,,,,-98,-50,1,0,0,response5disk,2,3,-7,-4,1,0,0,rectangle,-7,-4,1,0,0,,5,"[266,75,171,97,150,307,10,271,147,81,171,170,139,91,28,207,135,40,207,210]",-7,-4,1,0,0,0,2,2,31,1,,,,,,,,,,,,,,,,,,,,,,,
