key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,14.8607,space,134.3953,space,56.4955,space,12.4286,space,7.9798,space,5.2483,space,8.2947,4,FF,4,1,2.9396,-86,38,1,0,0,response7disk_5,-18,9,1,0,0,rectangle_8,-18,9,1,0,0,6,-18,9,1,0,0,0,0,0,1,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,2,1,3.3553,-93,33,1,0,0,response7disk_5,-24,7,1,0,0,rectangle_8,-24,7,1,0,0,6,-24,7,1,0,0,0,1,1,4,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,3,6,2.3663,90,30,1,0,0,response1disk_5,10,3,1,0,0,rectangle_8,10,3,1,0,0,6,10,3,1,0,0,0,2,2,5,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,1,6,1.8517,94,42,1,0,0,response1disk_5,9,6,1,0,0,rectangle_8,77,32,1,0,0,6,6,5,1,0,0,0,3,3,6,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,4,1,2.554,-85,37,1,0,0,response7disk_5,1,12,1,0,0,rectangle_8,1,12,1,0,0,6,1,12,1,0,0,0,4,4,2,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,4,6,1.905,85,39,1,0,0,response1disk_5,-4,0,1,0,0,rectangle_8,74,25,1,0,0,6,1,6,1,0,0,0,5,5,3,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,3,1,2.5498,-85,35,1,0,0,response7disk_5,-18,-6,1,0,0,rectangle_8,-18,-6,1,0,0,6,-18,-6,1,0,0,0,6,6,0,1,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,4.7501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,space,6.4318,-82,43,1,0,0,response7disk,6,1,13,4,1,0,0,rectangle,13,4,1,0,0,,6,"[189,175,28,140,299,97,36,72,39,59,238,323,133,48,49,65,47,151,9,280]",13,4,1,0,0,0,0,0,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,1,1.6992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,-101,40,1,0,0,response7disk,1,2,-7,-3,1,0,0,rectangle,-7,-3,1,0,0,,1,"[189,175,28,140,299,97,36,72,39,59,238,323,133,48,49,65,47,151,9,280]",-7,-3,1,0,0,0,1,1,45,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,1.9026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8c6d3378b06800e6507c4,60cc8adb34b24c8a59b3b9ca,2021-06-18_11h58.25.272,FlowerSimilarity_Experiment,2021.1.2,Win32,59.53798523,60cc862d586bafd4cd2fa98a,,,,,,-83,39,1,0,0,response7disk,5,3,7,8,1,0,0,rectangle,7,8,1,0,0,,5,"[189,175,28,140,299,97,36,72,39,59,238,323,133,48,49,65,47,151,9,280]",7,8,1,0,0,0,2,2,14,1,,,,,,,,,,,,,,,,,,,,,,,
