key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,3.4398,space,3.8744,space,19.7576,space,17.2295,space,5.3326,space,4.8997,space,6.6894,1,FF,3,4,9.4297,43,-97,1,0,0,response3disk_5,-17,-3,1,0,0,rectangle_8,-17,-3,1,0,0,4,-17,-3,1,0,0,0,0,0,3,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,2,6,4.8694,105,38,1,0,0,response1disk_5,-1,-2,1,0,0,rectangle_8,-1,-2,1,0,0,4,-1,-2,1,0,0,0,1,1,6,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,2,5,2.4678,98,-39,1,0,0,response3disk_5,23,-6,1,0,0,rectangle_8,37,-97,1,0,0,4,-4,-3,1,0,0,0,2,2,2,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,response3disk_7,4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,4,7,1.5844,43,102,1,0,0,response1disk_5,-8,6,1,0,0,rectangle_8,-8,6,1,0,0,4,-8,6,1,0,0,0,3,3,4,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,1,7,1.5004,44,91,1,0,0,response1disk_5,1,0,1,0,0,rectangle_8,1,0,1,0,0,4,1,0,1,0,0,0,4,4,1,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,1,5,1.9008,90,-22,1,0,0,response3disk_5,-3,-2,1,0,0,rectangle_8,-3,-2,1,0,0,4,-3,-2,1,0,0,0,5,5,0,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,4,4,1.6339,33,-103,1,0,0,response3disk_5,-15,5,1,0,0,rectangle_8,-15,5,1,0,0,4,-15,5,1,0,0,0,6,6,5,1,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,3.3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,space,5.229,46,-98,1,0,0,response3disk,3,1,-14,-2,1,0,0,rectangle,-14,-2,1,0,0,,5,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-14,-2,1,0,0,0,0,0,36,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,1.4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,44,99,1,0,0,response1disk,3,2,-5,4,1,0,0,rectangle,-5,4,1,0,0,,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-5,4,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,4,1.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,41,-81,1,0,0,response3disk,4,3,-2,-6,1,0,0,rectangle,-2,-6,1,0,0,,7,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-2,-6,1,0,0,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,
