key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,9.1036,space,65.3049,space,56.0245,space,28.7672,space,8.1265,space,5.8219,space,7.8834,2,FF,6,1,20.8171,-119,49,1,0,0,response7disk_5,-9,7,1,0,0,rectangle_8,-9,7,1,0,0,1,-9,7,1,0,0,0,0,0,5,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,2,7,2.5172,69,123,1,0,0,response1disk_5,-5,-1,1,0,0,rectangle_8,-5,-1,1,0,0,1,-5,-1,1,0,0,0,1,1,0,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,3,3,5.4331,-53,-167,1,0,0,response5disk_5,-1,-3,1,0,0,rectangle_8,-112,39,1,0,0,1,-13,7,1,0,0,0,2,2,4,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,2,5,3.7338,129,-77,1,0,0,response3disk_5,-1,2,1,0,0,rectangle_8,50,82,1,0,0,1,25,-13,1,0,0,0,3,3,1,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,3,4,6.433,45,-121,1,0,0,response3disk_5,0,-4,1,0,0,rectangle_8,0,-4,1,0,0,1,0,-4,1,0,0,0,4,4,2,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,1,5,5.6331,119,-74,1,0,0,response3disk_5,-9,-7,1,0,0,rectangle_8,-9,-7,1,0,0,1,-9,-7,1,0,0,0,5,5,3,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,3,1,18.0836,-131,61,1,0,0,response7disk_5,2,-9,1,0,0,rectangle_8,2,-9,1,0,0,1,2,-9,1,0,0,0,6,6,6,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,space,4.7897,-127,-80,1,0,0,response5disk,3,1,0,-8,1,0,0,rectangle,0,-8,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",0,-8,1,0,0,0,0,0,34,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-71,-131,1,0,0,response5disk,7,2,-2,4,1,0,0,rectangle,-2,4,1,0,0,,7,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-2,4,1,0,0,0,1,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,0,2.6014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-66,104,1,0,0,response7disk,2,3,-10,-12,1,0,0,rectangle,-10,-12,1,0,0,,0,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-10,-12,1,0,0,0,2,2,11,1,,,,,,,,,,,,,,,,,,,,,,,
