key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,1.1497,space,4.9986,space,4.1967,space,3.8535,space,2.8716,space,0.8803,space,2.4353,1,FF,6,6,10.2209,134,51,1,0,0,response1disk_5,2,-1,1,0,0,rectangle_8,2,-1,1,0,0,3,2,-1,1,0,0,0,0,0,1,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,5,4,2.5019,40,-121,1,0,0,response3disk_5,4,-10,1,0,0,rectangle_8,4,-10,1,0,0,3,4,-10,1,0,0,0,1,1,4,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,6,7,1.8186,59,120,1,0,0,response1disk_5,7,-4,1,0,0,rectangle_8,7,-4,1,0,0,3,7,-4,1,0,0,0,2,2,2,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,4,0,1.6855,-67,108,1,0,0,response7disk_5,14,-10,1,0,0,rectangle_8,14,-10,1,0,0,3,14,-10,1,0,0,0,3,3,0,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,5,3,2.0853,-42,-100,1,0,0,response5disk_5,0,-8,1,0,0,rectangle_8,-48,-119,1,0,0,3,5,-5,1,0,0,0,4,4,6,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,1,0,3.452,-53,125,1,0,0,response7disk_5,-12,6,1,0,0,rectangle_8,-51,-100,1,0,0,3,-1,-9,1,0,0,0,5,5,5,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,6,0,1.1519,-45,116,1,0,0,response7disk_5,10,-11,1,0,0,rectangle_8,10,-11,1,0,0,3,10,-11,1,0,0,0,6,6,3,1,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,4,1.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,space,1.4023,55,-122,1,0,0,response3disk,6,1,7,-2,1,0,0,rectangle,7,-2,1,0,0,,6,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",7,-2,1,0,0,0,0,0,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,2.3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,101,-57,1,0,0,response3disk,1,2,11,3,1,0,0,rectangle,11,3,1,0,0,,1,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",11,3,1,0,0,0,1,1,45,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,0,0.9686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,-46,106,1,0,0,response7disk,5,3,2,-3,1,0,0,rectangle,2,-3,1,0,0,,5,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",2,-3,1,0,0,0,2,2,14,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,1.7169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,102,63,1,0,0,response1disk,7,4,19,9,1,0,0,rectangle,19,9,1,0,0,,5,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",19,9,1,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,1.9502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,-54,-102,1,0,0,response5disk,2,5,7,9,1,0,0,rectangle,7,9,1,0,0,,5,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",7,9,1,0,0,0,4,4,35,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,1.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,77,112,1,0,0,response1disk,3,6,22,-12,1,0,0,rectangle,22,-12,1,0,0,,1,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",22,-12,1,0,0,0,5,5,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,0.8187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,59,120,1,0,0,response1disk,3,7,6,-5,1,0,0,rectangle,6,-5,1,0,0,,0,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",6,-5,1,0,0,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,3,0.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,-52,-124,1,0,0,response5disk,2,8,1,16,1,0,0,rectangle,1,16,1,0,0,,7,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",1,16,1,0,0,0,7,7,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,6,0.9165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,99,68,1,0,0,response1disk,3,9,6,2,1,0,0,rectangle,6,2,1,0,0,,2,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",6,2,1,0,0,0,8,8,41,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,0.7504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,120,47,1,0,0,response1disk,4,10,5,13,1,0,0,rectangle,5,13,1,0,0,,6,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",5,13,1,0,0,0,9,9,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,5,1.3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,110,-57,1,0,0,response3disk,5,11,1,-1,1,0,0,rectangle,1,-1,1,0,0,,5,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",1,-1,1,0,0,0,10,10,40,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,5,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,115,-44,1,0,0,response3disk,5,12,-3,-3,1,0,0,rectangle,-3,-3,1,0,0,,3,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",-3,-3,1,0,0,0,11,11,19,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,0.9021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,66,113,1,0,0,response1disk,7,13,16,0,1,0,0,rectangle,16,0,1,0,0,,1,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",16,0,1,0,0,0,12,12,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,1.1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,-47,115,1,0,0,response7disk,5,14,28,8,1,0,0,rectangle,28,8,1,0,0,,1,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",28,8,1,0,0,0,13,13,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,0,0.7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc889d5bbfb9535a13f18f,60cc8a9c94786ad3a166c87c,2021-06-18_12h59.38.656,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0024001,60cc862d586bafd4cd2fa98a,,,,,,-58,110,1,0,0,response7disk,6,15,-17,16,1,0,0,rectangle,-17,16,1,0,0,,6,"[251,18,149,161,252,110,236,204,276,204,259,130,119,150,267,66,227,89,137,98]",-17,16,1,0,0,0,14,14,21,1,,,,,,,,,,,,,,,,,,,,,,,
