key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,10.3892,space,38.3217,space,107.3085,space,26.8815,space,31.9125,space,48.201,space,9.7443,2,FF,6,4,3.1868,45,-89,1,0,0,response3disk_5,-1,4,1,0,0,rectangle_8,-1,4,1,0,0,6,-1,4,1,0,0,0,0,0,5,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,6,0,3.1215,-41,99,1,0,0,response7disk_5,13,4,1,0,0,rectangle_8,13,4,1,0,0,6,13,4,1,0,0,0,1,1,3,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,1,0,1.5853,-31,100,1,0,0,response7disk_5,-2,10,1,0,0,rectangle_8,90,37,1,0,0,6,3,-1,1,0,0,0,2,2,2,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,2,0,1.463,-53,98,1,0,0,response7disk_5,-2,4,1,0,0,rectangle_8,95,39,1,0,0,6,-2,-1,1,0,0,0,3,3,0,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,5,0,1.5124,-52,89,1,0,0,response7disk_5,8,5,1,0,0,rectangle_8,8,5,1,0,0,6,8,5,1,0,0,0,4,4,4,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,1,0,1.1108,-52,99,1,0,0,response7disk_5,-9,8,1,0,0,rectangle_8,-9,8,1,0,0,6,-9,8,1,0,0,0,5,5,6,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,2,0,1.1824,-41,104,1,0,0,response7disk_5,-1,5,1,0,0,rectangle_8,-1,5,1,0,0,6,-1,5,1,0,0,0,6,6,1,1,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,4.5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,space,7.9179,-34,95,1,0,0,response7disk,1,1,-4,8,1,0,0,rectangle,-4,8,1,0,0,,1,"[43,312,311,70,15,307,295,252,267,234,287,87,323,118,89,293,187,172,66,143]",-4,8,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,1.5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,50,97,1,0,0,response1disk,1,2,8,-1,1,0,0,rectangle,8,-1,1,0,0,,3,"[43,312,311,70,15,307,295,252,267,234,287,87,323,118,89,293,187,172,66,143]",8,-1,1,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,0,1.1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605b787e15c5cdab9f698cb4,60cc9166f86844ffb8fec220,2021-06-18_14h33.18.183,FlowerSimilarity_Experiment,2021.1.2,Win32,39.78199467,60cc862d586bafd4cd2fa98a,,,,,,-32,103,1,0,0,response7disk,6,3,3,-1,1,0,0,rectangle,3,-1,1,0,0,,2,"[43,312,311,70,15,307,295,252,267,234,287,87,323,118,89,293,187,172,66,143]",3,-1,1,0,0,0,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,
