key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,2.7545,space,41.2446,space,6.0593,space,13.4736,space,6.8306,space,4.3717,space,4.8569,3,FF,4,4,11.5004,70,-201,1,0,0,response3disk_5,-10,10,1,0,0,rectangle_8,-10,10,1,0,0,7,-10,10,1,0,0,0,0,0,2,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,4,3,8.8041,-95,-163,1,0,0,response5disk_5,8,3,1,0,0,rectangle_8,8,3,1,0,0,7,8,3,1,0,0,0,1,1,5,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,2,5,1.4732,184,-75,1,0,0,response3disk_5,3,2,1,0,0,rectangle_8,80,181,1,0,0,7,33,9,1,0,0,0,2,2,3,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,3,7,4.0924,91,184,1,0,0,response1disk_5,-7,-2,1,0,0,rectangle_8,96,168,1,0,0,7,14,14,1,0,0,0,3,3,1,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,2,5,3.1686,190,-64,1,0,0,response3disk_5,21,13,1,0,0,rectangle_8,21,13,1,0,0,7,21,13,1,0,0,0,4,4,0,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,5,4,3.6759,52,-186,1,0,0,response3disk_5,15,13,1,0,0,rectangle_8,15,13,1,0,0,7,15,13,1,0,0,0,5,5,4,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,3,3,1.3765,-112,-176,1,0,0,response5disk_5,10,6,1,0,0,rectangle_8,10,6,1,0,0,7,10,6,1,0,0,0,6,6,6,1,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,7,4.8784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,space,3.2333,127,194,1,0,0,response1disk,2,1,-23,-8,1,0,0,rectangle,-23,-8,1,0,0,,3,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",-23,-8,1,0,0,0,0,0,44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,0.8271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,107,190,1,0,0,response1disk,1,2,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,,6,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",-2,-1,1,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,4,2.2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,78,-130,1,0,0,response3disk,2,3,2,-12,1,0,0,rectangle,2,-12,1,0,0,,7,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",2,-12,1,0,0,0,2,2,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,2,2.2517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,-128,-92,1,0,0,response5disk,6,4,24,-11,1,0,0,rectangle,24,-11,1,0,0,,6,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",24,-11,1,0,0,0,3,3,21,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,0.8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,88,155,1,0,0,response1disk,3,5,8,11,1,0,0,rectangle,8,11,1,0,0,,6,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",8,11,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,1,1.5843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,-175,46,1,0,0,response7disk,4,6,18,1,1,0,0,rectangle,18,1,1,0,0,,1,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",18,1,1,0,0,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,0.7019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,51,176,1,0,0,response1disk,7,7,13,-1,1,0,0,rectangle,13,-1,1,0,0,,0,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",13,-1,1,0,0,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,1.8276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,-167,73,1,0,0,response7disk,4,8,37,3,1,0,0,rectangle,37,3,1,0,0,,7,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",37,3,1,0,0,0,7,7,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,5,3.7941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,136,-92,1,0,0,response3disk,7,9,3,-2,1,0,0,rectangle,3,-2,1,0,0,,3,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",3,-2,1,0,0,0,8,8,16,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,4,1.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,71,-192,1,0,0,response3disk,5,10,10,-3,1,0,0,rectangle,10,-3,1,0,0,,7,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",10,-3,1,0,0,0,9,9,47,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,2,1.4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,-163,-70,1,0,0,response5disk,5,11,31,3,1,0,0,rectangle,31,3,1,0,0,,4,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",31,3,1,0,0,0,10,10,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,6,1.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,172,63,1,0,0,response1disk,2,12,-10,-2,1,0,0,rectangle,-10,-2,1,0,0,,4,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",-10,-2,1,0,0,0,11,11,33,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,6,1.8206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc81b1d06f5fb9e934ed3d,60cc87829e4a92f4cdbab031,2021-06-18_13h46.25.603,FlowerSimilarity_Experiment,2021.1.2,Win32,144.092219,60cc862d586bafd4cd2fa98a,,,,,,194,83,1,0,0,response1disk,1,13,-10,-6,1,0,0,rectangle,-10,-6,1,0,0,,2,"[179,247,233,24,150,182,298,174,76,193,305,160,181,299,197,271,106,323,311,124]",-10,-6,1,0,0,0,12,12,0,1,,,,,,,,,,,,,,,,,,,,,,,
