key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,3.24,space,54.276,space,37.302,space,19.551,space,22.537,space,17.172,space,5.601,5,FF,5,7,2.602,51,114,1,0,0,response1disk_5,2,-2,1,0,0,rectangle_8,2,-2,1,0,0,5,2,-2,1,0,0,0,0,0,6,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,2,1,2.764,-102,40,1,0,0,response7disk_5,-6,-4,1,0,0,rectangle_8,84,-39,1,0,0,5,-12,3,1,0,0,0,1,1,3,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,response3disk_7,5,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,4,1,2.534,-103,41,1,0,0,response7disk_5,-26,-1,1,0,0,rectangle_8,91,-40,1,0,0,5,20,-3,1,0,0,0,2,2,2,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,response3disk_7,5,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,2,2,2.903,-90,-31,1,0,0,response5disk_5,-10,-11,1,0,0,rectangle_8,-10,-11,1,0,0,5,-10,-11,1,0,0,0,3,3,0,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,4,1,1.184,-123,41,1,0,0,response7disk_5,-16,7,1,0,0,rectangle_8,-16,7,1,0,0,5,-16,7,1,0,0,0,4,4,5,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,2,1,1.215,-126,40,1,0,0,response7disk_5,-2,7,1,0,0,rectangle_8,-2,7,1,0,0,5,-2,7,1,0,0,0,5,5,1,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,5,3,3.384,-75,-114,1,0,0,response5disk_5,2,3,1,0,0,rectangle_8,2,3,1,0,0,5,2,3,1,0,0,0,6,6,4,1,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,6,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,space,4.996,106,41,1,0,0,response1disk,1,1,1,-10,1,0,0,rectangle,1,-10,1,0,0,,1,"[240,4,176,143,53,41,181,127,140,212,275,273,130,217,301,212,174,189,104,288]",1,-10,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,1.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,46,97,1,0,0,response1disk,1,2,32,-3,1,0,0,rectangle,32,-3,1,0,0,,3,"[240,4,176,143,53,41,181,127,140,212,275,273,130,217,301,212,174,189,104,288]",32,-3,1,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,2,1.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f185b5110646a00097ad68a,60cc906444c07359b268038d,2021-06-18_14h24.25.844,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,-108,-48,1,0,0,response5disk,6,3,0,7,1,0,0,rectangle,0,7,1,0,0,,2,"[240,4,176,143,53,41,181,127,140,212,275,273,130,217,301,212,174,189,104,288]",0,7,1,0,0,0,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,
