key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,3.916,space,15.758,space,113.585,space,50.616,space,33.268,space,22.433,space,3.896,5,FF,1,1,2.501,-130,61,1,0,0,response7disk_5,0,2,1,0,0,rectangle_8,0,2,1,0,0,3,0,2,1,0,0,0,0,0,6,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,1,0,7.869,-45,121,1,0,0,response7disk_5,-4,-5,1,0,0,rectangle_8,-4,-5,1,0,0,3,-4,-5,1,0,0,0,1,1,2,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,6,3,22.167,-81,-131,1,0,0,response5disk_5,-3,-8,1,0,0,rectangle_8,-3,-8,1,0,0,3,-3,-8,1,0,0,0,2,2,0,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,1,7,1.816,79,133,1,0,0,response1disk_5,19,15,1,0,0,rectangle_8,-51,-124,1,0,0,3,7,-6,1,0,0,0,3,3,1,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,5,2,9.218,-136,-52,1,0,0,response5disk_5,2,-5,1,0,0,rectangle_8,2,-5,1,0,0,3,2,-5,1,0,0,0,4,4,3,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,4,4,3.166,67,-137,1,0,0,response3disk_5,3,-1,1,0,0,rectangle_8,-82,-131,1,0,0,3,-4,-4,1,0,0,0,5,5,5,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,2,7,1.266,89,131,1,0,0,response1disk_5,-15,7,1,0,0,rectangle_8,-15,7,1,0,0,3,-15,7,1,0,0,0,6,6,4,1,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,2,11.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,space,3.977,-120,-74,1,0,0,response5disk,5,1,2,6,1,0,0,rectangle,2,6,1,0,0,,3,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",2,6,1,0,0,0,0,0,40,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,1.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,72,128,1,0,0,response1disk,1,2,-4,-5,1,0,0,rectangle,-4,-5,1,0,0,,6,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",-4,-5,1,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,0,3.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,-68,110,1,0,0,response7disk,6,3,-2,8,1,0,0,rectangle,-2,8,1,0,0,,3,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",-2,8,1,0,0,0,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,61,111,1,0,0,response1disk,3,4,-18,-5,1,0,0,rectangle,-18,-5,1,0,0,,6,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",-18,-5,1,0,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,7.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,-64,-124,1,0,0,response5disk,6,5,6,2,1,0,0,rectangle,6,2,1,0,0,,0,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",6,2,1,0,0,0,4,4,17,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,5,1.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,113,-58,1,0,0,response3disk,1,6,2,3,1,0,0,rectangle,2,3,1,0,0,,0,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",2,3,1,0,0,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,7,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fd02ffb59b3d80949990895,60cc8cd32fe211c69040d8ae,2021-06-18_14h10.11.658,FlowerSimilarity_Experiment,2021.1.2,Win32,60.0240096,60cc862d586bafd4cd2fa98a,,,,,,59,108,1,0,0,response1disk,4,7,4,2,1,0,0,rectangle,4,2,1,0,0,,0,"[253,202,54,154,303,294,133,249,145,152,126,283,35,162,225,264,211,130,312,21]",4,2,1,0,0,0,6,6,37,1,,,,,,,,,,,,,,,,,,,,,,,
