key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,9.495,space,47.0907,space,18.2729,space,16.3115,space,7.8631,space,8.3996,space,7.4938,2,FF,3,0,18.8455,-39,103.5,1,0,0,response7disk_5,1,6.5,1,0,0,rectangle_8,1,6.5,1,0,0,1,1,6.5,1,0,0,0,0,0,0,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,5,0,8.9212,-34,106.5,1,0,0,response7disk_5,1,-6.5,1,0,0,rectangle_8,1,-6.5,1,0,0,1,1,-6.5,1,0,0,0,1,1,1,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,6,7,3.5514,34,98.5,1,0,0,response1disk_5,-24,4.5,1,0,0,rectangle_8,-81,31.5,1,0,0,1,-12,-0.5,1,0,0,0,2,2,5,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,6,0,2.6064,-40,104.5,1,0,0,response7disk_5,-3,4.5,1,0,0,rectangle_8,-3,4.5,1,0,0,1,-3,4.5,1,0,0,0,3,3,4,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,5,0,4.482,-37,101.5,1,0,0,response7disk_5,-2,-1.5,1,0,0,rectangle_8,-2,-1.5,1,0,0,1,-2,-1.5,1,0,0,0,4,4,6,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,4,7,2.9506,36,102.5,1,0,0,response1disk_5,-9,-2.5,1,0,0,rectangle_8,-90,55.5,1,0,0,1,-1,-2.5,1,0,0,0,5,5,3,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,6,0,2.6514,-39,94.5,1,0,0,response7disk_5,2,9.5,1,0,0,rectangle_8,2,9.5,1,0,0,1,2,9.5,1,0,0,0,6,6,2,1,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,10.3694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,space,4.7324,-40,96.5,1,0,0,response7disk,3,1,4,-4.5,1,0,0,rectangle,4,-4.5,1,0,0,,1,"[306,317,81,119,193,229,204,63,222,14,201,121,259,113,126,169,98,102,221,254]",4,-4.5,1,0,0,0,0,0,34,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,2.3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,37,91.5,1,0,0,response1disk,3,2,-12,5.5,1,0,0,rectangle,-12,5.5,1,0,0,,6,"[306,317,81,119,193,229,204,63,222,14,201,121,259,113,126,169,98,102,221,254]",-12,5.5,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,0,2.3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c8a67b5e4e431949787593,60cc91609d8216c1d64c6bb1,2021-06-18_14h29.18.384,FlowerSimilarity_Experiment,2021.1.2,Win32,59.94485074,60cc862d586bafd4cd2fa98a,,,,,,-29,97.5,1,0,0,response7disk,5,3,-3,6.5,1,0,0,rectangle,-3,6.5,1,0,0,,4,"[306,317,81,119,193,229,204,63,222,14,201,121,259,113,126,169,98,102,221,254]",-3,6.5,1,0,0,0,2,2,40,1,,,,,,,,,,,,,,,,,,,,,,,
