key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,2.593905,space,5.739745,space,8.478885,space,9.24291,space,5.0719,space,4.49821,space,2.937095,6,FF,6,7,2.806035,49.86572266,87.1975708,1,0,1,response1disk_5,18.55200195,-3.865600586,1,0,1,rectangle_8,18.55200195,-3.865600586,1,0,1,1,18.55200195,-3.865600586,1,0,1,0,0,0,1,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,6,2,5.26436,-87.93103027,-48.2689209,1,0,1,response5disk_5,-14.38458252,-2.119140625,1,0,1,rectangle_8,-14.38458252,-2.119140625,1,0,1,1,-14.38458252,-2.119140625,1,0,1,0,1,1,4,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,2,7,1.442445,30.1060791,108.9364319,1,0,1,response1disk_5,3.644287109,-6.712402344,1,0,1,rectangle_8,-117.6533813,53.38214111,1,0,1,1,-14.8828125,2.489624023,1,0,1,0,2,2,3,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,1,7,1.56842,50.15844727,105.5139465,1,0,1,response1disk_5,-10.54620361,-1.678344727,1,0,1,rectangle_8,-10.54620361,-1.678344727,1,0,1,1,-10.54620361,-1.678344727,1,0,1,0,3,3,2,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,1,7,1.250755,57.62408447,117.2619019,1,0,1,response1disk_5,23.11907959,-12.07702637,1,0,1,rectangle_8,23.11907959,-12.07702637,1,0,1,1,23.11907959,-12.07702637,1,0,1,0,4,4,5,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,4,7,1.191515,57.82171631,112.4067383,1,0,1,response1disk_5,28.50769043,2.166320801,1,0,1,rectangle_8,28.50769043,2.166320801,1,0,1,1,28.50769043,2.166320801,1,0,1,0,5,5,6,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,3,3,4.66068,-66.07202148,-107.132019,1,0,1,response5disk_5,6.209411621,3.571350098,1,0,1,rectangle_8,6.209411621,3.571350098,1,0,1,1,6.209411621,3.571350098,1,0,1,0,6,6,0,1,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,2.83645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,space,3.903185,-107.9526367,22.72998047,1,0,1,response7disk,3,1,-1.922302246,0.704162598,1,0,1,rectangle,-1.922302246,0.704162598,1,0,1,,0,"[166,279,168,210,93,74,168,68,318,133,69,66,14,207,252,13,284,141,160,61]",-1.922302246,0.704162598,1,0,1,0,0,0,41,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.618315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,-40.13085938,-114.1207886,1,0,1,response5disk,3,2,-3.759887695,0.351501465,1,0,1,rectangle,-3.759887695,0.351501465,1,0,1,,4,"[166,279,168,210,93,74,168,68,318,133,69,66,14,207,252,13,284,141,160,61]",-3.759887695,0.351501465,1,0,1,0,1,1,24,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,2,2.07608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607a51b65477bb1614145a9c,60cc88e9cc21b78536cf56ad,2021-06-18_07h52.26.227,FlowerSimilarity_Experiment,2021.1.2,MacIntel,59.94125757,60cc862d586bafd4cd2fa98a,,,,,,-85.69836426,-37.99914551,1,0,1,response5disk,7,3,3.794921875,4.52331543,1,0,1,rectangle,3.794921875,4.52331543,1,0,1,,6,"[166,279,168,210,93,74,168,68,318,133,69,66,14,207,252,13,284,141,160,61]",3.794921875,4.52331543,1,0,1,0,2,2,43,1,,,,,,,,,,,,,,,,,,,,,,,
