key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,1.5755,space,5.9789,space,38.307,space,15.4925,space,8.1826,space,4.8435,space,4.5642,5,FF,6,4,7.8207,53,-65,1,0,0,response3disk_5,-4,-7,1,0,0,rectangle_8,-30,76,1,0,0,response7disk_7,0,0,8,8,1,0,0,rectangle_4,0,0,0,0,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,3,3,9.3032,-32,-99,1,0,0,response5disk_5,-19,1,1,0,0,rectangle_8,-19,1,1,0,0,,,0,-19,1,1,0,0,,0,1,1,6,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,2,4,5.3316,48,-111,1,0,0,response3disk_5,12,-6,1,0,0,rectangle_8,12,-6,1,0,0,,,0,12,-6,1,0,0,,0,2,2,1,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,3,5,2.8339,84,-45,1,0,0,response3disk_5,16,0,1,0,0,rectangle_8,16,0,1,0,0,,,0,16,0,1,0,0,,0,3,3,3,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,1,6,2.9746,69,44,1,0,0,response1disk_5,16,-12,1,0,0,rectangle_8,-50,70,1,0,0,response7disk_7,0,0,-6,10,1,0,0,rectangle_4,0,4,4,2,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,5,0,4.262,-42,127,1,0,0,response7disk_5,-19,5,1,0,0,rectangle_8,-19,5,1,0,0,,,0,-19,5,1,0,0,,0,5,5,5,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,4,2,2.2399,-93,-31,1,0,0,response5disk_5,23,-9,1,0,0,rectangle_8,23,-9,1,0,0,,,0,23,-9,1,0,0,,0,6,6,4,1,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,2,2.8246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,space,3.1469,-123,-76,1,0,0,response5disk,5,1,-10,-2,1,0,0,rectangle,-10,-2,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-10,-2,1,0,0,0,0,0,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,5,1.9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,79,-53,1,0,0,response3disk,3,2,9,-9,1,0,0,rectangle,9,-9,1,0,0,,2,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",9,-9,1,0,0,0,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,4,1.6459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,67,-89,1,0,0,response3disk,2,3,14,-13,1,0,0,rectangle,14,-13,1,0,0,,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",14,-13,1,0,0,0,2,2,11,1,,,,,,,,,,,,,,,,,,,,,,,
